1950	46.9
1960	57.5
1970	60.9
1980	66.2
1990	70.42
1991	70.84
1992	71.22
1993	71.57
1994	71.89
1995	72.17
1996	72.43
1997	72.66
1998	72.87
1999	73.06
2000	73.24
2001	73.4
2002	73.55
2003	73.68
2004	73.8
2005	73.92
2006	74.02
2007	74.13
2008	74.03
2009	73.97
2010	73.97
2011	74.13
2012	74.27
2013	74.51
2014	74.73
2015	74.95
